PNUM,H,AB,R,HR,BB,RBI,AVG
1,203,637,102,20,39,64,0.319
2,15,49,7,0,1,4,0.306
3,172,579,106,24,110,95,0.297
4,42,148,21,6,16,28,0.284
5,130,461,59,16,31,53,0.282
6,61,220,26,2,15,13,0.277
7,121,437,52,5,20,49,0.277
8,144,530,72,31,31,83,0.272
9,110,416,41,14,33,68,0.264
10,86,329,43,3,22,30,0.261
11,43,171,23,4,8,15,0.251
12,130,523,81,29,64,91,0.249
13,10,41,9,2,5,4,0.244
14,43,180,29,9,20,27,0.239
15,25,109,9,5,12,17,0.229
16,62,284,26,4,15,20,0.218
17,11,52,4,0,3,3,0.212
18,6,31,5,2,2,7,0.194
19,10,53,3,1,1,2,0.189
20,2,11,1,1,0,1,0.182
21,17,95,10,4,2,12,0.179
22,14,90,8,3,7,7,0.156
23,9,64,6,5,3,9,0.141
24,4,32,4,0,0,0,0.125
25,3,26,2,0,0,2,0.115
26,2,18,1,0,0,0,0.111
27,1,14,0,0,0,1,0.071
28,3,43,2,0,0,4,0.07
29,0,1,0,0,0,0,0
30,0,1,0,0,0,0,0
31,0,2,0,0,0,0,0
32,0,2,0,0,0,0,0
33,0,2,0,0,0,0,0
34,0,9,0,0,2,0,0
35,0,3,0,0,1,0,0
36,0,2,0,0,0,0,0
37,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
51,39,129,20,3,13,17,0.302
52,178,589,102,34,89,91,0.302
53,152,522,85,3,45,29,0.291
54,2,7,1,0,0,2,0.286
55,60,214,35,12,20,39,0.28
56,25,90,6,2,16,15,0.278
57,145,532,65,14,24,65,0.273
58,76,281,27,8,29,41,0.27
59,161,599,67,13,71,89,0.269
60,89,350,45,7,52,29,0.254
61,2,8,0,0,0,1,0.25
62,64,257,29,7,16,33,0.249
63,57,233,24,1,23,21,0.245
