RK,PO,E
1,4,0
2,2,0
3,3,0
4,1,0
5,1,0
6,2,0
7,3,0
8,1,0
9,5,0
10,3,0
11,1,0
12,3,0
13,1,0
14,89,0
15,1,0
16,25,0
17,0,0
18,19,0
19,0,0
20,6,0
21,99,0
22,31,0
23,6,0
24,1,0
25,1378,4
26,241,1
27,237,2
28,799,7
29,241,10
30,62,1
31,20,1
32,185,8
33,173,6
34,111,10
35,194,7
36,188,7
37,3,1
38,9,1
39,17,1
40,92,20
41,46,3
42,36,3
43,3,2
44,5,2
45,1,1
46,5,2
47,1,1
48,0,0
49,0,0
50,0,0
51,1,0
52,11,0
53,21,0
54,5,0
55,1,0
56,0,0
57,2,0
58,1,0
59,4,0
60,1,0
61,1,0
62,13,0
63,110,0
64,0,0
65,0,0
66,1,0
67,0,0
68,56,0
69,76,0
70,127,0
71,0,0
72,4,0
73,349,2
74,323,2
75,1330,10
76,117,1
77,277,8
78,871,11
79,140,6
80,53,3
81,162,13
82,196,6
83,4,1
84,12,2
85,11,1
86,5,2
87,5,2
88,1,1
89,5,3
90,0,4
91,0,1
92,0,1
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,2,0
100,6,0
101,0,0
102,0,0
103,258,0
104,0,0
105,3,0
106,5,0
107,5,0
108,5,0
109,0,0
110,4,0
111,89,0
112,103,0
113,1,0
114,561,1
115,346,1
116,1000,4
117,423,2
118,365,3
119,245,6
120,76,1
121,55,1
122,133,4
123,195,12
124,328,16
125,25,1
126,20,3
127,6,1
128,14,2
129,8,2
130,9,1
131,4,1
132,2,1
133,3,1
134,8,3
135,2,1
136,3,1
137,0,1
138,3,1
139,2,1
140,1,1
141,1,1
142,0,1
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,6,0
149,3,0
150,0,0
151,1,0
152,3,0
153,0,0
154,0,0
155,20,0
156,2,0
157,0,0
158,9,0
159,0,0
160,0,0
161,0,0
162,2,0
163,11,0
164,1,0
165,3,0
166,3,0
167,2,0
168,29,0
169,4,0
170,2,0
171,0,0
172,1,0
173,5,0
174,4,0
175,1,0
176,2,0
177,1168,8
178,817,7
179,92,1
180,276,3
181,94,1
182,333,4
183,111,3
184,93,3
185,192,10
186,136,3
187,23,1
188,249,14
189,309,8
190,186,5
191,5,1
192,106,23
193,2,1
194,8,1
195,10,1
196,0,1
197,1,2
198,18,0
199,3,0
200,1,0
201,17,0
202,18,0
203,42,0
204,6,0
205,0,0
206,4,0
207,0,0
208,10,0
209,22,0
210,1,0
211,0,0
212,0,0
213,7,0
214,0,0
215,0,0
216,1,0
217,5,0
218,0,0
219,2,0
220,1,0
221,7,0
222,0,0
223,6,0
224,476,2
225,539,3
226,359,3
227,513,5
228,183,2
